Distrito,Latitud,Longitud
Cañada de Gomez,-32.8153,-61.3957
Cap. Bermudez,-32.8224,-60.7203
Casilda,-33.0442,-61.1681
Desvío Arijon,-31.9599,-60.8115
Esperanza,-31.4504,-60.9312
Firmat,-33.4611,-61.4851
Funes,-32.9157,-60.8099
Galvez,-32.2985,-61.2224
Gdro. Baigorria,-32.8601,-60.7222
Monje,-32.3614,-60.9161
Rafaela,-31.2503,-61.4867
Reconquista,-29.1495,-59.6482
Rosario,-32.9445,-60.6505
Rufino,-34.2636,-62.7099
San José del Rincón,-31.5975,-60.6723
San Lorenzo,-32.7468,-60.7342
Santa Fe,-31.6107,-60.6973
V.G.Galvez,-33.0233,-60.6277
